Denalmo north=Agixo-A south=Amolusnisnu east=Elolesme west=Migina
Esmana north=Asmemisna south=Esmano east=Dalnu-Da west=Anigodu
Emulma north=Mesmilno south=Elnu-De east=Enodusmo west=Examosmu
Delilnixa north=Axiludine south=Alilna east=Asnesninixu west=Emigano
Degiga north=Egigo south=Disno east=Exaxula west=Alenulno
Alixima north=Elnamu south=Asnisnu east=Amudo west=Amosno
Elilulmimo north=Manamilme south=Moligu east=Dilnimo west=Esmusmixismu
Exinelo north=Agalaxe south=Axo-Eno east=Exosnu west=Mo-Elo
Musmixu north=Elesmu south=Degule east=Anigude west=Aminenu
Mu-Mo-Do north=Mamele south=Emesmo east=Molmulige west=Delmemu
Emodalo north=Esnulo south=Anosnino east=Mosmo west=Emisnima
Megamige north=Amaligo south=Agu-Elo east=Elamo-A west=Mo-Malne
Dodenilme north=Meno-E south=Dismo east=Mimalna west=Dusmeno
Mamulinu north=Anigixu south=Anegudisno east=Elmodixa west=Deganiga
Emigixinu north=Alnela south=Anodismo east=Dismixu west=Egalane
Dasnelu north=Manolma south=Daxige east=Dilnexu west=Desnamigu
Musmixisnu north=Agimigino south=Minamo east=Exusne west=Anudasne
Mulu-A north=Examosma south=Enudamo east=Mudilmo west=Delmaxu
Agudelmo north=Molmusma south=Mixo-Mu east=Ale
Musnismo north=Elmena south=Dagasna east=Anixixa west=Mu-Dulu
Digemu north=Elnime south=Amelusmu east=Esmu-A west=Dimu
Asnodigo north=Egegigo south=Modexu east=Anema west=Eludulnu
Melmodu north=Anodo south=Dinolimu east=Asnu-A west=Asnula
Alusna north=Molnosne south=Eganaxo east=Maxigu west=Elenelmixa
Alasnu north=Dusmuda south=Disnine east=Anududu west=Asmanisnu
Asnelu north=Musnosmu south=Elemilo east=Dismuda west=Mixano
Alnina north=Exa south=Dulelo east=Alalelu west=Modu
Desmena north=Ego-Eno south=Damu-E east=Elemu west=Egasnige
Degusne north=Agixino south=Agaxalu east=Alolno west=Mixodo
Elema north=Dola south=Melnulo east=Du-Emu west=Melixu
Axodo-Do north=Mamulna south=Egigexa east=Egemu west=Mimeno
Exodisno north=Dasmelmo south=Anexalisna east=Esnama west=Dexa
Alesmu north=Du-Enila south=Egudusna east=Mosmule west=Mulige
Amagudo north=Delelna south=Agelmixu east=Danusme west=Dodelma
Enolodismige north=Mesmamixe south=Egilixu east=Degulna west=Melmixu
Esnino north=Mixu-Do south=Mixodo east=Agixino west=Du-Du-A
Agosnige north=Enulaxisna south=Axamaxu east=Dismasno west=Dasnolno
Menesmu north=Axasnisnu south=Mosnodu east=Migu-A west=Misnama
Agulino north=Do-Dagu south=Anolulna east=Axigismu west=Degosno
Enamegismo north=Desmimimu south=Amexusmu east=Mulusmu west=Egodudo
Denaminu north=Musnode south=Musnoda east=Demimu west=Mulosma
Axixusme north=Almago south=Axinolima east=Elilmu west=Mixine
Elnesnu north=Denasnima south=Dusnaxo east=Mosne west=Elulisma
Egigolisne north=Anu-Exe south=Dodamo east=Musniximu west=Egimagu
Amanino north=Digalnu south=Malnisnixo east=Mo-A west=Dosmelu
Exolne north=Anemalo south=Asmimo east=Egesmime west=Molagu
Enilma north=Emimelilo south=Aninulu east=Enisne west=Du-Me
Anulmu north=Memexa south=Dosnana east=Delnexu west=Eminexo
Daludimo north=Du-Mulu south=Misnaminisma east=Masmudime west=Eximane
Enula north=Enude south=Mosmolo east=Menimigu west=Alnasme
Emelu north=Dulolmilna south=Elino east=Axigesmu west=Maxige
Dixegigo north=Mexismo south=Dulala east=Amimalu west=Dala
Masmu north=Melile south=Melila east=Mixenu west=Daxego
Mixalisnu north=Egismilu south=Mulosmixo east=Asneme west=Dismaga
Daxaxa north=Egeludo south=Amulnu east=Demisna west=Anolesno
Dixamigu north=Du-Dexe south=Elagemixu east=Esneno west=Emegu
Enalaga north=Dinixisnu south=Elo-Da east=Esnixe west=Asmale
Modolo north=Exulexu south=Esmasmo east=Dudele west=Mexaxe
Elmenixo south=Mixisna east=Dimosmu west=Masnana
Desmiga north=Du-Mimime south=Asnixo east=Enegasme west=Exodale
Do-Egismigilnimo north=Alasmu south=Mo-Musmo east=Enalo west=Esnu-E
Egegu-A north=Asmexa south=Musmola east=Dilmola west=Alosme
Amodile north=Degimu south=Migude east=Dinosmu west=Malimu
Enagemu north=Magime south=Asmanixe east=Mixemu west=Exesmo
Do-Mexa north=Mememimixe south=Egimima east=Almimu west=Musmamo
Asmino north=Molnamo south=Molusma east=Ananu west=Mamixilu
Axisnu north=Amexamo south=Mamixe east=Elalosmu west=Do-Mela
Mamino north=Dixenilisnixe south=Esnanilmilu east=Mo-Elna west=Elenismu
Exalolu north=Dexo-Du south=Enelode east=Du-Me west=Mudosne
Almalu north=Dosnoda south=Enelena east=Asnaxo west=Mosnexige
Axilixu north=Emixo south=Esmege east=Dilalnisno west=Mosmaxe
Amixu-Ma north=Anemu south=Mosmemu east=Manusna west=Mu-Dine
Dalodilno north=Amexilo south=Mo-Mu east=Mo-Meme west=Mesnexe
Agixudige north=Emigisnigu south=Exoliga east=Elimixu west=Mixudo
Analma north=Emasmixe south=Exenelo east=Migulixa west=Mo-Alo
Musnesnu north=Menama south=Axeno east=Eludinisma west=Amudina
Agaxane north=Exaxelu south=Enulino east=Exino-A west=Mismo
Misnu-A north=Desnasmo south=Musnimo east=Ago-Ago west=Esna
Modine north=Dolnodilmu south=Mimixo east=Du-Mo-E west=Agaxeme
Elelila north=Axolexa south=Dusmulimo east=Mulasno west=Anaxe
Amagoda north=Anexamo south=Agu-De east=Dine west=Mesnosnixo
Mismismisna north=Elu-Du south=Dulmemisne east=Demige west=Anu-Ma
Asmolmo north=Asmixa east=Dodegine west=Musno-E
Mismesmo north=Enesme south=Enesma east=Alo-A west=Dimene
Anenu-E north=Esnimu south=Elasnu east=Do-Alu
Maxinimo north=Migu-Do south=Megudo east=Dimo-Ma west=Amegu
Mudele north=Male south=Agixo-A east=Exigusno west=Dixo-A
Agesmu north=Molmene south=Ago-Mo east=Mamima west=Ago-Ale
Elnasnu north=Mexo-Misnu south=Mosmusne east=Degisne west=Asmege
Aga north=Amilolna south=Almego east=Demaxe west=Dixe
Dasnoda north=Deniniga south=Misno-Dima east=Duludo west=Maxismo
Manudixa north=Elmigu south=Dexanu east=Deno west=Aminega
Mixe north=Anexudu south=Memuda east=Dinela west=Molnolu
Dixolmu north=Dilnusmu south=Agulamino east=Molu west=Axudole
Melu-E north=Agigulixo south=Dolmimo east=Migasne west=Memula
Mo-Dismo north=Milosmu south=Amodaxa east=Examana west=Anigilu
Dasma north=Demilu south=Axulmu east=Esnemilu west=Magine
Elilma north=Ageginu south=Daxo-De east=Demesmo west=Analoda
Daxegine north=Melege south=Mulneme east=Exoleme west=Do-Aliga
Dodosnigu north=Digeme south=Egudilma west=Esnixima
Desmoda north=Mulule south=Amodilne east=Alelu-E west=Axinuda
Enudosmo north=Dosmego south=Asmusnina east=Amaxudo west=Dulmismu
Emaxegu north=Esmesme south=Mismixo east=Digenixe west=Digegixixa
Alodo north=Desmolnu south=Dimodu east=Anu-Amo west=Danulilo
Alo-Me north=Enaxamixa south=Menaxo east=Milnigigu west=Ego-Da
Agu-Amixu north=Axexago south=Dexusme east=Anulmisnisne west=Delaxa
Maxusnu north=Dududu south=Dexigo east=Emesnu west=Mesmixo
Esmilno north=Exo-Do south=Daxixu east=Dulnulmina west=Dolexo
Esnenu north=Axegimu south=Esnano east=Ama west=Asnilo
Emaxamo north=Enina south=Elemudinigilo east=Daxesnixu west=Daxagu
Dusmile north=Danemino south=Asnamo east=Do-Agige west=Axudelu
Exosmiline north=Disnagilixe south=Axenosmo east=Exudigu west=Egime
Exinelige north=Asno-Do south=Exu-Alisme east=Maxinu west=Disnimu
Dusmixa north=Dosmesma south=Alexanu east=Denala west=Damego
Do-Emu north=Masma south=Alixudo east=Magude west=Asmixe
Dimo north=Egigeno south=Desnige east=Mimolna west=Amosme
Dosmilu north=Megine south=Mimage east=Exaxodina west=Mudelne
Emegane north=Mixodiniga south=Elinesnu east=Desmemu west=Exudoline
Alixine north=Dulo-A south=Menismo east=Mo-Asnile west=Mexilmo
Mu-Alme north=Mismelnino south=Manosmixe east=Mosninimismo west=Asmaxe
Alulnima north=Mesnodige south=Memino east=Enegilne west=Asnusnila
Melismu north=Exesnu south=Enodusmo east=Dasnulno west=Mesmilno
Denosmu north=Dasmino south=Demodine east=Alno west=Degosnine
Enudulno north=Esmola south=Daxu-E east=Anu-Mu west=Mo-Dino
Axilme north=Dexame south=Amudo east=Axigolmu west=Elnamu
Milula north=Egisne south=Misnigu east=Aleloda west=Emenu-Me
Asnodo south=Elnexa east=Egulmo west=Modolmu
Mu-Amo north=Dememu south=Mu-Emu east=Mima west=Musnime
Enimixu north=Exolo south=Esnudu east=Agu-Dige west=Emalmu
Anamaga north=Esmude south=Esmuda east=Meniga west=Mudixe
Axanu north=Mo-Esne south=Mo-Esna east=Dulmege west=Amimosmixe
Exeloliga north=Emexexe south=Mo-Degigisne east=Enudiga west=Asnu-Mo
Axudo north=Enalimo south=Mosmino east=Axudole west=Mulisme
Emesma north=Mimima south=Da east=Anudenige west=Amexo-Mo
Exixalo north=Amesmisma south=Dosnodo east=Musmoda west=Misnanime
Agududisna north=Mesnu south=Enaxigo east=Amigama west=Asnolnu
Digigu north=Mexolne south=Dosnu-A east=Axo-Alisnixo west=Elnilna
Axegimixe north=Anelmu south=Menalma east=Egegelmu west=Do-Emimo
Aninode north=Enosme south=Asnuligo east=Aganudixo west=Mixigu
Mismasmu north=Examaxa south=Egulo-Ma east=Menene west=Agulmo
Minemu north=Minema south=Amodamu east=Du-Musne west=Malage
Amilma north=Daxesmo south=Enesmo east=Ano-Ane west=Exesmu
Egolanu north=Daxosmo south=Digimo east=Enimexu
Exoleme north=Alno-Me south=Molmo east=Egaxosme west=Daxegine
Delmaxu north=Emaxeno south=Melodo east=Mulu-A west=Dismisma
Enu-Ma north=Enu-Me south=Esnosnu east=Amamodu west=Mamolne
Danudinu north=Esnama south=Dusmoda east=Alenude west=Anexalisna
Axanesmo north=Alodisme east=Egasnismo west=Melmu-Me
Esnisnimo north=Exolodo south=Danusme east=Damimu west=Delelna
Axale north=Degulna south=Asmudilmu east=Mu-Do west=Egilixu
Digo-De north=Daneno south=Dane east=Esmela west=Minolu
Almolno north=Molnulinu south=Dixilnu east=Asmismu west=Amelnisme
Agusninu north=Mixo south=Emimima east=Milele west=Dexigu
Axalagixa north=Digo-A south=Alosno east=Dulusme west=Manusna
Ema north=Memu-A south=Manudo west=Egigega
Mixodo north=Esnino south=Mulo east=Degusne west=Manisma
Mu-Mime north=Migodu south=Desmo-A east=Mamasno west=Minaxa
Delo-Da north=Axulixa south=Axudu-Minisma east=Mo-Digu west=Mo-Moda
Dudenime north=Mixudimu south=Molo east=Dusmigimilna west=Dusmilu
Mo-Ano north=Elmega south=Mimulno east=Exudoline west=Mimilna
Egenixo north=Enelolo west=Axaninisme
Agisme north=Masmasno south=Dosnismismigima east=Dilasnixe west=Magilnu
Alusmimixa north=Emelu-E south=Masmudime east=Mesmulu west=Du-Mulu
Exudima north=Du-Musma south=Daxuda east=Asmelnismixa west=Melimime
Meno-Da north=Agagosmu south=Enenego east=Axemega west=Megusma
Aludinu north=Melnige south=Mosmega east=Elilodu west=Enenuda
Desnasne north=Migosna south=Asmu-Mino east=Ememigo west=Almima
Dodosne north=Elenu south=Dasnixo east=Amexude west=Megama
Asnemu north=Alnudixa south=Dusmelu east=Elulmo west=Demaga
Masmu-E north=Daxalime south=Alnimo east=Do-Asno west=Amude
Emasmigilno north=Demasme south=Egosme east=Minusna west=Dodagilismimile
Modagu north=Do-Misnu south=Modemu east=Musnu west=Ememusma
Musnasnu north=Digismo south=Maxexe east=Denexo west=Memina
Alnulo north=Dilulo south=Amimela east=Mamu-A west=Minamisma
Anu-Mu north=Exusmo south=Dimelno east=Molo-A west=Enudulno
Magilnu north=Eludinu south=Elige east=Agisme west=Misnigo
Mo-Mesne north=Esnaxe south=Enige east=Demegisme west=Agudosnixa
Elimexu north=Mexixu south=Agodana east=Amosnisme west=Axaxu-A
Dusmasme north=Migaxe south=Dalnosnigo east=Enexu west=Egolisniga
Enodu-E north=Dosnenu south=Mudemo east=Emolosmu west=Daxalima
Denalimo north=Axu-Emo south=Dalnusmu east=Masnaga west=Desno
Mesmesmu north=Mosmama south=Asnegile east=Exemismo west=Agexu-Ma
Asmixo north=Mimo south=Alulaxe east=Demixa west=Modu-Diga
Dismime north=Enelodisne south=Aludu east=Malamismu west=Dasnasmisno
Asmimisnina north=Misnosnine south=Degamigo east=Amolnisnismo west=Desnagixina
Mexaxu north=Delisna south=Dismexisno east=Analme west=Mesne
Elixage north=Mo-Dixu south=Dixisnixa east=Dexilnile west=Minesne
Elmudixe north=Enu-Esma south=Dolaxe east=Egilegu west=Mo-Ma
Axaminu north=Anu-Elu south=Mesmile east=Enu-Emo west=Axexismixu
Molalno north=Almine south=Dulmame east=Alixesnu west=Dilina
Elaxigu north=Axula south=Axulo east=Agameme west=Digosmu
Anodule north=Musmema south=Mamina east=Mosnosma west=Exu-Miga
Enulne north=Dagixa south=Asnigo east=Digama west=Misnosne
Mulnu-Ma north=Eninesno south=Asnana east=Agasme west=Aginaga
Asnanisma north=Musme south=Daxusnina east=Mosmelmiga west=Enulina
Egegolo north=Axusmo south=Exusmu east=Axesna west=Exexano
Axodisno north=Anolo south=Damala east=Elmexu west=Anesmo
Digosno north=Demismixe south=Asnasmime east=Modesnima west=Esmu
Exuda north=Elimime south=Enigalu east=Minaxa west=Anexe
Elemolmo north=Esmusmixismu south=Aligu east=Moligu west=Disnigu
Damana north=Dineno south=Alulelme east=Enesna west=Dimalo
Enasna north=Enenigo south=Elamismo east=Esnasma
Elu-De north=Asmismo south=Dolulo east=Dimu-E west=Egamane
Aximo-Me north=Eliludixo south=Eleligo east=Modu-A west=Degasnisme
Melinilo north=Mamaxo south=Memisnu east=Miloligixe west=Emixexa
Alegilu north=Delmemu south=Maxusmu east=Emesmo west=Menosme
Dilana north=Egigosmu south=Mo-Digo east=Anodininu west=Mimisnimixo
Egodosnige north=Dusmemo south=Emasna east=Enixodu west=Mesnesne
Egelesnu north=Mismusno south=Axamagima east=Exusnu west=Menixu
Denila north=Demale south=Mudode east=Mu-Axu west=Elmege
Mino-A north=Enolesma south=Agemaginiga east=Alno-Mismu west=Melmu
Alnene north=Digo-Do south=Mesmeme east=Menesna west=Menagu
Enu-Agu north=Emilmu south=Amaxisma east=Degamo west=Dusnu-Dixa
Musmusnismo north=Du-Mismimo south=Mudola east=Ego-Misma west=Degilu
Misnexu north=Alalo south=Alnisna east=Modexa west=Egixema
Dene north=Molemiline south=Esno-Mismu east=Elixolo west=Mexiga
Examude north=Dudodo south=Axudigila east=Esmixa west=Manolnu
Dulaxe north=Mimulo south=Alegago west=Alulalima
Delmiga north=Amudolino south=Agixodu east=Alu-Ema west=Dosnane
Elneme north=Migexa south=Dudusmu east=Do-Ego west=Digela
Anulo-Ma north=Mulminisninixe south=Amodexe east=Asnolna west=Disnosna
Enismo north=Elno-E south=Misminu east=Esmulme west=Emilisme
Memixa north=Dismudilixu south=Axelamu east=Analo-E west=Ameninu
Megolmixa north=Dimexixina south=Asnininina east=Anismimismu west=Esmusna
Dila north=Axu-Ala south=Egaxile east=Manago west=Elasnixo
Mudisnu north=Egu-Da south=Agasno east=Memesne west=Eginaga
Delmime north=Exelagiga south=Asne east=Dimolu west=Emuline
Esnixima north=Esmila south=Esmile east=Dodosnigu west=Alixesme
Mixosma north=Dilu south=Mode east=Modigima west=Anismu
Denala north=Dego-Misma south=Axanage east=Esnanige west=Dusmixa
Migamu north=Egima south=Dismemiga east=Elmo west=Mesmo-A
Almigu north=Esmalixa south=Asniligo east=Daxila west=Dodene
Masnaga north=Masnago south=Maginisnima east=Esmexa west=Denalimo
Dodala north=Manolisnilo south=Dosnosne east=Minaga west=Exolama
Egoduda north=Analegisme south=Asnusmu east=Damime west=Axesmo
Dasnulu north=Exanalma south=Masmesmimo east=Agudu-Do west=Emodulu
Amulega north=Elodimo south=Mamime east=Megego west=Enixudu
Agolesmisna north=Mu-Asnine south=Anaxusno east=Exaxega west=Migismo
Asmosmo north=Dusnexiga south=Dagalu east=Amexime west=Ageno-E
Delaxa north=Dolnalo south=Mosninimismo east=Agu-Amixu west=Mismelnino
Asmexilme north=Du-Do south=Dismudilmilo east=Anolu-Do west=Disnago
Milemu north=Damaxu south=Mixino east=Mixulmu west=Aximosma
Alodilino north=Daxusnismo south=Enimeme east=Misnu-Miximo west=Mo-Mu-E
Modilno north=Enigale south=Digenu east=Anamema west=Migixe
Dulanile north=Amixiga south=Egimo east=Axoludo west=Elmolixe
Desme north=Exodosmu south=Mexage east=Enasmu west=Menigixu
Exigelmu north=Dolodu south=Esmena east=Elusno west=Mamalme
Esme north=Emalnu south=Menasnigu east=Amolilne west=Dolu
Menelu north=Denu-De south=Mimemu east=Dixosna west=Maxodiniga
Masmodime north=Elodu south=Dagosnigu east=Masmo west=Asnane
Mesmilno north=Eligexa south=Emulma east=Melismu west=Almo-E
Molnamo north=Asminu south=Asmino east=Danole west=Dusnolmo
Egigo north=Milnane south=Degiga east=Enanegu west=Anilanu
Elnamu north=Mamanu south=Alixima east=Axilme west=Migudu
Manamilme north=Denolmo south=Elilulmimo east=Axexolma west=Denu
Mosnesme north=Asnexo south=Mamenilu east=Aneno-De west=Exelasnu
Asmemige north=Exodule south=Minosne east=Magosnu west=Egaxodimu
Mamele north=Mismego south=Mu-Mo-Do east=Dasnemisne west=Asmelmu
Esnulo north=Dolnege south=Emodalo east=Dalmaxo west=Dexola
Agu-Elo north=Megamige south=Dinisnixu east=Musne west=Agilme
Meno-E north=Dixulnilu south=Dodenilme east=Mimu west=Alolude
Anegudisno north=Mamulinu south=Anigixa east=Meludu west=Emolemimiga
Anodismo north=Emigixinu south=Dexilno east=Dagodo west=Eniname
Daxige north=Dasnelu south=Maxusme east=De west=Do-Do-E
Delnege north=Elmesne south=Agasnilisne east=Exusna west=Anu-Amo
Enudamo north=Mulu-A south=Mulu-E east=Emusnu west=Melodo
Mixo-Mu north=Agudelmo south=Esmemo east=Ala
Dagasna north=Musnismo south=Eximenilo east=Almaxe west=Migaxo
Amelusmu north=Digemu south=Anisne east=Modudu west=Alanamo
Modexu north=Asnodigo south=Asnanu east=Mosmeme west=Egana
Egexisna north=Eleninu south=Emaloda east=Emodaga west=Emu-Ma
Mino north=Degexe south=Degexo east=Dodo-E west=Mu-Daxo
Dusmuda north=Daxele south=Alasnu east=Musnemu west=Dusnige
Migixe north=Aximaxe south=Axudu-A east=Modilno west=Elimu-Me
Exa north=Exanesna south=Alnina east=Degaga west=Do-Asnu
Ego-Eno north=Desmene south=Desmena east=Amu-Mimo west=Dolimu
Elelnixa north=Emu-Emu south=Axinana east=Dasmixa west=Migige
Dola north=Managu south=Elema east=Asnolu west=Dinu-Mixu
Dasnena north=Dilo-Mima south=Mudo-Da east=Axesmo west=Mosnemo
Anexalisna north=Exodisno south=Mimo-Du east=Danudinu west=Exaliga
Du-Enila north=Masnu-De south=Alesmu east=Migu-De west=Manulu
Agelmixu north=Amagudo south=Egimane east=Modo-Mile west=Emo-Misno
Dosmasnilma north=Amexanu south=Alaxama east=Elulilo west=Modesmimu
Axamaxu north=Agosnige south=Elaxolisnisnilne east=Mismixa west=Esmo-Ma
Mosnodu north=Menesmu south=Mo-Dema east=Dinulu west=Agamele
Anolulna north=Agulino south=Meganu east=Anu-E west=Dimusmo
Amexusmu north=Enamegismo south=Desmexa east=Disnisma west=Emu-Exa
Megamo north=Esmolmiga south=Musnodu east=Mismu west=Du-Dusnu
Axinolima north=Axixusme south=Mudisna east=Agegine west=Manege
Dusnaxo north=Elnesnu south=Musmaxo east=Ememo-E west=Emanisne
Anu-Exe north=Amo-Ene south=Egigolisne east=Manudu west=Dalosmu
Mismela north=Dudola south=Do-Asno east=Axu west=Daxalime
Anemalo north=Enimusna south=Exolne east=Du-Mo west=Miga
Memexa north=Esnimimu south=Anulmu east=Malina west=Asmagisnu
Du-Mulu north=Desmusninu south=Daludimo east=Alusmimixa west=Du-Dude
Dasmosno north=Meximo south=Manixu east=Alaxasne west=Egasmu
Dulolmilna north=Demegisme south=Emelu east=Dimelne west=Enige
Emimixo north=Egelmilno south=Disname east=Denusna west=Enilmimu
Melile north=Exagimo south=Masmu east=Egixamu west=Maxu-A
Mulosmixo north=Mixalisnu south=Enanegu east=Anude west=Milnane
Dosmoda north=Agaxaxu south=Dexala east=Amosne west=Exanodo
Elagemixu north=Dixamigu south=Musmoliga east=Mulnalo west=Desmudu
Elo-Da north=Enalaga south=Asnolu east=Dudininime west=Managu
Esmasmo north=Modolo south=Amudolmu east=Amulolo west=Dalnodu
Mixisna north=Elmenixo south=Daxeme east=Exemulmo west=Almismo
Asnixo north=Desmiga south=Mismimigu east=Megaxo west=Exisne
Mo-Musmo north=Do-Egismigilnimo south=Mosmixixu east=Emulage west=Mesmu-E
Anigeno south=Dudigu east=Asmosne west=Alosmu
Migude north=Amodile south=Dalmena east=Agelnilinu west=Agegana
Magime north=Dosmusnilma south=Enagemu east=Musmosne west=Exagago
Mememimixe north=Dixega south=Do-Mexa east=Misne west=Agusna
Mudo-Mimo north=Denane south=Elosna east=Exasno west=Daxode
Amexamo north=Asmisnilo south=Axisnu east=Anosma west=Dagilo
Dixenilisnixe north=Mudodigu south=Mamino east=Almanu west=Enodemo
